iter	Passed	Remaining
215	1433	5202
216	1440	5197
217	1445	5184
218	1450	5172
219	1455	5160
220	1460	5148
221	1465	5136
222	1470	5124
223	1476	5113
224	1481	5101
225	1486	5089
226	1491	5077
227	1496	5065
228	1501	5053
229	1505	5041
230	1510	5029
231	1515	5016
232	1521	5007
233	1525	4995
234	1530	4983
235	1536	4972
236	1541	4962
237	1546	4951
238	1551	4940
239	1556	4929
240	1561	4917
241	1566	4907
242	1571	4895
243	1575	4882
244	1581	4872
245	1586	4861
246	1591	4850
247	1595	4838
248	1600	4828
249	1605	4817
250	1610	4806
251	1615	4796
252	1620	4785
253	1625	4775
254	1630	4763
255	1635	4754
256	1640	4743
257	1645	4732
258	1650	4721
259	1655	4711
260	1660	4701
261	1665	4690
262	1669	4679
263	1675	4670
264	1680	4660
265	1685	4650
266	1690	4641
267	1695	4631
268	1700	4621
269	1705	4611
270	1710	4601
271	1715	4592
272	1720	4582
273	1725	4571
274	1730	4561
275	1735	4552
276	1740	4542
277	1745	4534
278	1750	4524
279	1755	4514
280	1760	4503
281	1765	4494
282	1769	4484
283	1774	4474
284	1779	4464
285	1784	4455
286	1789	4446
287	1794	4437
288	1799	4427
289	1804	4417
290	1809	4408
291	1814	4400
292	1819	4390
293	1824	4381
294	1829	4372
295	1834	4363
296	1839	4354
297	1844	4345
298	1849	4335
299	1854	4327
300	1859	4318
301	1864	4308
302	1869	4299
303	1873	4289
304	1879	4282
305	1884	4274
306	1889	4265
307	1894	4257
308	1900	4249
309	1904	4239
310	1909	4230
311	1915	4223
312	1920	4214
313	1926	4207
314	1930	4198
315	1935	4189
316	1940	4181
317	1945	4173
318	1950	4164
319	1955	4156
320	1961	4148
321	1966	4140
322	1971	4132
323	1976	4124
324	1982	4116
325	1987	4108
326	1993	4101
327	1998	4095
328	2003	4086
329	2008	4078
330	2013	4070
331	2018	4061
332	2024	4055
333	2029	4047
334	2034	4038
335	2039	4031
336	2044	4022
337	2049	4014
338	2055	4007
339	2060	4000
340	2065	3992
341	2070	3983
342	2075	3976
343	2080	3966
344	2085	3959
345	2090	3952
346	2096	3944
347	2101	3936
348	2106	3928
349	2111	3921
350	2116	3913
351	2121	3905
352	2128	3901
353	2134	3895
354	2141	3890
355	2147	3883
356	2152	3876
357	2157	3868
358	2162	3860
359	2168	3855
360	2175	3850
361	2180	3842
362	2186	3837
363	2191	3829
364	2196	3821
365	2201	3814
366	2206	3806
367	2211	3798
368	2217	3791
369	2221	3783
370	2226	3775
371	2231	3767
372	2236	3760
373	2242	3753
374	2248	3747
375	2253	3739
376	2258	3732
377	2263	3724
378	2268	3716
379	2273	3708
380	2278	3701
381	2283	3694
382	2288	3687
383	2293	3679
384	2298	3672
385	2302	3663
386	2307	3655
387	2312	3647
388	2317	3640
389	2322	3632
390	2326	3624
391	2331	3616
392	2336	3609
393	2341	3601
394	2349	3598
395	2364	3606
396	2370	3600
397	2376	3594
398	2386	3594
399	2392	3588
400	2398	3582
401	2403	3574
402	2410	3570
403	2416	3564
404	2421	3557
405	2427	3552
406	2433	3545
407	2440	3540
408	2446	3535
409	2451	3528
410	2457	3521
411	2464	3518
412	2471	3513
413	2478	3508
414	2485	3503
415	2490	3495
416	2497	3491
417	2503	3486
418	2510	3481
419	2516	3475
420	2522	3468
421	2528	3462
422	2534	3457
423	2542	3453
424	2547	3446
425	2553	3440
426	2561	3436
427	2567	3431
428	2573	3425
429	2581	3421
430	2586	3414
431	2591	3407
432	2596	3400
433	2602	3393
434	2607	3386
435	2613	3380
436	2618	3372
437	2622	3365
438	2628	3358
439	2633	3351
440	2637	3343
441	2642	3336
442	2647	3328
443	2651	3320
444	2656	3312
445	2661	3305
446	2666	3298
447	2671	3291
448	2675	3283
449	2681	3277
450	2686	3269
451	2691	3263
452	2696	3256
453	2702	3250
454	2707	3243
455	2712	3235
456	2717	3228
457	2722	3221
458	2727	3214
459	2731	3207
460	2736	3199
461	2741	3192
462	2746	3185
463	2751	3178
464	2756	3171
465	2761	3164
466	2766	3157
467	2773	3152
468	2779	3147
469	2786	3142
470	2791	3135
471	2796	3128
472	2804	3124
473	2810	3118
474	2818	3114
475	2823	3108
476	2828	3101
477	2835	3096
478	2842	3091
479	2846	3084
480	2854	3079
481	2860	3074
482	2867	3069
483	2873	3063
484	2880	3059
485	2886	3052
486	2891	3045
487	2898	3041
488	2905	3036
489	2912	3031
490	2918	3025
491	2923	3018
492	2928	3011
493	2935	3007
494	2942	3002
495	2948	2996
496	2953	2989
497	2958	2982
498	2965	2977
499	2971	2971
500	2979	2967
501	2985	2961
502	2992	2956
503	2998	2951
504	3004	2944
505	3009	2938
506	3015	2932
507	3023	2927
508	3030	2923
509	3036	2917
510	3043	2912
511	3049	2906
512	3054	2899
513	3061	2895
514	3068	2889
515	3073	2882
516	3080	2877
517	3085	2871
518	3093	2866
519	3100	2861
520	3107	2857
521	3114	2851
522	3119	2845
523	3124	2837
524	3132	2834
525	3137	2827
526	3144	2822
527	3149	2815
528	3155	2809
529	3161	2803
530	3169	2799
531	3178	2796
532	3185	2790
533	3192	2785
534	3197	2779
535	3201	2771
536	3209	2767
537	3216	2761
538	3222	2756
539	3228	2750
540	3235	2744
541	3243	2740
542	3251	2736
543	3258	2731
544	3265	2726
545	3273	2721
546	3280	2716
547	3286	2710
548	3291	2704
549	3296	2697
550	3304	2693
551	3310	2686
552	3315	2679
553	3319	2672
554	3325	2666
555	3330	2659
556	3336	2653
557	3341	2646
558	3346	2640
559	3351	2633
560	3358	2627
561	3364	2622
562	3370	2616
563	3379	2612
564	3385	2606
565	3390	2599
566	3395	2593
567	3401	2587
568	3406	2580
569	3411	2573
570	3417	2567
571	3422	2560
572	3428	2554
573	3433	2548
574	3438	2541
575	3444	2535
576	3449	2528
577	3454	2522
578	3459	2515
579	3465	2509
580	3471	2503
581	3476	2496
582	3482	2490
583	3487	2484
584	3492	2477
585	3498	2471
586	3505	2466
587	3511	2460
588	3520	2456
589	3529	2452
590	3538	2448
591	3543	2442
592	3552	2438
593	3560	2433
594	3574	2433
595	3585	2430
596	3594	2426
597	3608	2425
598	3619	2423
599	3628	2418
600	3641	2417
601	3655	2416
602	3663	2412
603	3669	2406
604	3675	2399
605	3684	2395
606	3691	2389
607	3698	2384
608	3704	2378
609	3710	2372
610	3716	2366
611	3722	2359
612	3727	2353
613	3733	2347
614	3739	2340
615	3746	2335
616	3752	2329
617	3757	2322
618	3766	2318
619	3773	2312
620	3781	2307
621	3787	2301
622	3794	2296
623	3800	2289
624	3804	2282
625	3811	2277
626	3816	2270
627	3822	2264
628	3828	2258
629	3834	2252
630	3841	2246
631	3848	2240
632	3853	2233
633	3859	2228
634	3866	2222
635	3871	2215
636	3883	2213
637	3892	2208
638	3898	2202
639	3903	2195
640	3909	2189
641	3914	2183
642	3920	2176
643	3926	2170
644	3931	2164
645	3936	2157
646	3942	2150
647	3947	2144
648	3951	2137
649	3957	2130
650	3962	2124
651	3967	2117
652	3973	2111
653	3978	2104
654	3982	2097
655	3988	2091
656	3993	2084
657	3998	2078
658	4003	2071
659	4008	2065
660	4013	2058
661	4018	2051
662	4024	2045
663	4029	2038
664	4034	2032
665	4039	2025
666	4044	2019
667	4049	2012
668	4054	2005
669	4059	1999
670	4064	1992
671	4069	1986
672	4074	1979
673	4079	1973
674	4084	1966
675	4090	1960
676	4095	1953
677	4100	1947
678	4105	1940
679	4110	1934
680	4115	1927
681	4120	1921
682	4125	1914
683	4131	1908
684	4136	1902
685	4141	1895
686	4146	1889
687	4152	1883
688	4157	1876
689	4162	1870
690	4168	1863
691	4173	1857
692	4178	1851
693	4184	1844
694	4189	1838
695	4194	1831
696	4199	1825
697	4204	1818
698	4208	1812
699	4214	1806
700	4219	1799
701	4224	1793
702	4229	1786
703	4234	1780
704	4239	1774
705	4244	1767
706	4249	1761
707	4254	1754
708	4260	1748
709	4265	1742
710	4271	1736
711	4277	1730
712	4282	1723
713	4287	1717
714	4292	1711
715	4297	1704
716	4302	1698
717	4307	1691
718	4312	1685
719	4317	1679
720	4322	1672
721	4327	1666
722	4333	1660
723	4338	1654
724	4343	1647
725	4348	1641
726	4354	1635
727	4362	1629
728	4369	1624
729	4375	1618
730	4380	1611
731	4386	1605
732	4391	1599
733	4396	1593
734	4401	1586
735	4406	1580
736	4411	1574
737	4417	1568
738	4423	1562
739	4428	1556
740	4436	1550
741	4443	1544
742	4449	1539
743	4456	1533
744	4462	1527
745	4468	1521
746	4478	1516
747	4486	1511
748	4495	1506
749	4504	1501
750	4511	1495
751	4517	1489
752	4523	1483
753	4529	1477
754	4536	1472
755	4546	1467
756	4552	1461
757	4558	1455
758	4566	1449
759	4572	1444
760	4580	1438
761	4587	1432
762	4593	1426
763	4600	1421
764	4608	1415
765	4615	1410
766	4623	1404
767	4628	1398
768	4633	1391
769	4638	1385
770	4643	1379
771	4648	1373
772	4654	1366
773	4661	1361
774	4669	1355
775	4676	1350
776	4683	1344
777	4689	1338
778	4694	1331
779	4700	1325
780	4708	1320
781	4713	1314
782	4720	1308
783	4727	1302
784	4734	1296
785	4740	1290
786	4747	1284
787	4752	1278
788	4758	1272
789	4764	1266
790	4775	1261
791	4785	1256
792	4795	1251
793	4806	1246
794	4812	1241
795	4821	1235
796	4827	1229
797	4837	1224
798	4846	1219
799	4854	1213
800	4860	1207
801	4871	1202
802	4885	1198
803	4892	1192
804	4902	1187
805	4907	1181
806	4918	1176
807	4924	1170
808	4933	1164
809	4938	1158
810	4946	1152
811	4952	1146
812	4958	1140
813	4968	1135
814	4975	1129
815	4984	1124
816	4991	1118
817	5002	1113
818	5009	1106
819	5018	1101
820	5023	1095
821	5033	1090
822	5039	1083
823	5049	1078
824	5057	1072
825	5066	1067
826	5071	1060
827	5079	1055
828	5088	1049
829	5097	1044
830	5102	1037
831	5115	1032
832	5123	1027
833	5130	1021
834	5138	1015
835	5147	1009
836	5153	1003
837	5160	997
838	5165	991
839	5170	984
840	5176	978
841	5185	973
842	5205	969
843	5220	964
844	5230	959
845	5245	954
846	5264	950
847	5319	953
848	5395	959
849	5411	954
850	5475	958
851	5493	954
852	5507	949
853	5527	944
854	5532	938
855	5542	932
856	5552	926
857	5559	920
858	5564	913
859	5577	907
860	5588	902
861	5607	897
862	5622	892
863	5630	886
864	5641	880
865	5669	877
866	5693	873
867	5721	870
868	5748	866
869	5755	860
870	5762	853
871	5768	846
872	5773	839
873	5778	833
874	5786	826
875	5798	820
876	5828	817
877	5862	814
878	5876	808
879	5917	806
880	5936	801
881	5949	796
882	5963	790
883	5973	783
884	5982	777
885	5997	771
886	6009	765
887	6018	759
888	6022	752
889	6030	745
890	6047	739
891	6070	734
892	6097	730
893	6103	723
894	6109	716
895	6117	710
896	6122	703
897	6130	696
898	6148	690
899	6153	683
900	6161	677
901	6167	670
902	6172	663
903	6182	656
904	6190	649
905	6197	642
906	6213	637
907	6236	631
908	6246	625
909	6264	619
910	6269	612
911	6275	605
912	6280	598
913	6290	591
914	6301	585
915	6313	578
916	6318	571
917	6328	565
918	6334	558
919	6344	551
920	6352	544
921	6363	538
922	6374	531
923	6405	526
924	6419	520
925	6434	514
926	6470	509
927	6496	504
928	6522	498
929	6549	492
930	6568	486
931	6576	479
932	6583	472
933	6601	466
934	6609	459
935	6631	453
936	6638	446
937	6646	439
938	6668	433
939	6676	426
940	6685	419
941	6697	412
942	6706	405
943	6721	398
944	6727	391
945	6738	384
946	6750	377
947	6762	370
948	6828	366
949	6839	359
950	6850	352
951	6856	345
952	6865	338
953	6882	331
954	6899	325
955	6919	318
956	6931	311
957	6936	304
958	6941	296
959	6946	289
960	6950	282
961	6955	274
962	6960	267
963	6964	260
964	6969	252
965	6984	245
966	6989	238
967	7000	231
968	7014	224
969	7104	219
970	7127	212
971	7143	205
972	7229	200
973	7233	193
974	7241	185
975	7246	178
976	7261	170
977	7315	164
978	7325	157
979	7334	149
980	7338	142
981	7344	134
982	7365	127
983	7371	119
984	7383	112
985	7411	105
986	7418	97
987	7431	90
988	7437	82
989	7448	75
990	7455	67
991	7481	60
992	7491	52
993	7501	45
994	7510	37
995	7525	30
996	7533	22
997	7566	15
998	7574	7
999	7583	0
